month_year,botz_price
,BOTZ
2016-09,14.699145317077637
2016-10,14.420717239379883
2016-11,14.47832202911377
2016-12,14.410189628601074
2017-01,15.67348575592041
2017-02,15.93766975402832
2017-03,16.68027114868164
2017-04,17.253799438476562
2017-05,17.878244400024414
2017-06,17.925315856933594
2017-07,19.098302841186523
2017-08,19.69392967224121
2017-09,20.894775390625
2017-10,22.672033309936523
2017-11,22.969846725463867
2017-12,22.770004272460938
2018-01,25.431310653686523
2018-02,23.673120498657227
2018-03,23.240781784057617
2018-04,22.19354820251465
2018-05,22.328054428100586
2018-06,21.146320343017578
2018-07,21.434553146362305
2018-08,22.145511627197266
2018-09,21.982181549072266
2018-10,18.94618034362793
2018-11,18.936573028564453
2018-12,16.316486358642578
2019-01,17.992971420288086
2019-02,19.026153564453125
2019-03,19.57198715209961
2019-04,20.965808868408203
2019-05,18.324371337890625
2019-06,20.375858306884766
2019-07,19.266233444213867
2019-08,18.461017608642578
2019-09,19.659021377563477
2019-10,20.415136337280273
2019-11,21.063236236572266
2019-12,21.505800247192383
2020-01,21.05345916748047
2020-02,19.93244743347168
2020-03,17.83791732788086
2020-04,20.079946517944336
2020-05,22.79398536682129
2020-06,23.53643035888672
2020-07,24.966167449951172
2020-08,26.721294403076172
2020-09,27.480533599853516
2020-10,27.322771072387695
2020-11,31.20770835876465
2020-12,32.67195129394531
2021-01,33.37696075439453
2021-02,33.150184631347656
2021-03,32.6768913269043
2021-04,33.86011505126953
2021-05,33.77137756347656
2021-06,34.519142150878906
2021-07,33.59072494506836
2021-08,36.217933654785156
2021-09,36.11916732788086
2021-10,37.21548843383789
2021-11,35.75373458862305
2021-12,35.49694061279297
2022-01,29.3338680267334
2022-02,29.205467224121094
2022-03,28.65237045288086
2022-04,23.555984497070312
2022-05,23.555984497070312
2022-06,20.114538192749023
2022-07,22.292295455932617
2022-08,20.391708374023438
2022-09,17.897188186645508
2022-10,19.42161750793457
2022-11,21.21331787109375
2022-12,20.342212677001953
2023-01,23.559349060058594
2023-02,23.301982879638672
2023-03,25.242164611816406
2023-04,24.65812873840332
2023-05,27.00416374206543
2023-06,28.502573013305664
2023-07,28.899269104003906
2023-08,26.509178161621094
2023-09,24.515783309936523
2023-10,22.58189582824707
2023-11,26.211658477783203
2023-12,28.268497467041016
2024-01,28.347848892211914
2024-02,30.926729202270508
2024-03,31.551610946655273
2024-04,29.63728904724121
2024-05,30.529979705810547
2024-06,30.64219093322754
2024-07,30.592527389526367
2024-08,31.347408294677734
2024-09,31.933433532714844
2024-10,31.54606056213379
2024-11,33.14521408081055
2024-12,31.73478126525879
2025-01,32.95649719238281
2025-02,31.853971481323242
2025-03,28.268287658691406
2025-04,28.36761474609375
2025-05,30.69185447692871
2025-06,32.50962829589844
2025-07,33.32610321044922
2025-08,33.405757904052734
2025-09,35.27767562866211
2025-10,37.6673583984375
2025-11,35.01879119873047
2025-12,36.22999954223633
2026-01,37.31999969482422
2026-02,39.02000045776367
2026-03,36.154998779296875
